상품명,가격
BODY SCULPTURE 실내 자전거,나눔
정품 안다르 뽀글이 롱 집업 코트 아이보리,"18,000원"
갤럭시 워치4 40mm 실버,"40,000원"
허리 운동 벤치,"10,000원"
정품 MCM 블랙 캔버스 토트백,"30,000원"
(거의 새거) 나이키 탄준 러닝화 파란색 240,"20,000원"
정품 나이키 드라이핏 반바지,"15,000원"
스케쳐스 운동복(새상품),"8,000원"
새상품 헬스케어 마사지건,"20,000원"
동묘 스파렉스 헬스장 163일 양도합니다,"250,000원"
판매완료,에이블짐 창신역 헬스 회원권 양도 (7개월)
에이블짐 창신역 헬스 회원권 양도 (7개월),"190,000원"
EVL pre workout engine 헬스부스터 30서빙 미개봉,"10,000원"
헬스 운동 이고진 벤치 의자,"10,000원"
GOUNOD 헬스 장갑 새상품,"7,000원"
새상품 헬스 장갑,"3,000원"
제로바디 헤븐스텝 V3 앱 에디션+,"81,000원"
뉴발란스 480 운동화 250,"18,000원"
인크레디웨어 무릎보호대 XL,"40,000원"
문틀 풀업바 턱걸이용,"14,000원"
반석스포츠 철봉 턱걸이,"29,000원"
멜리언스 듀얼 마그네틱 맥세이프 링홀더 자석거치대 그립 스마트톡,"22,000원"
아식스 노바블라스트4 여성용 오트밀 230,"85,000원"
헬스자전거,"30,000원"
동묘앞역 헬스장 스파렉스 피트니스 양도,"400,000원"
신설동역점 스포애니 프로 헬스권 양도 (~9/25) 운동복 라커 포함,"100,000원"
은성 헬스빌 가정용 거꾸리,"10,000원"
언더아머 언디나이어블 4.0 더플백 (라지) 짐백 헬스가방,"20,000원"
에이치짐 신설동점 PT 15회 양도합니다!,"580,000원"
스포애니 동묘앞점 양도합니다,"300,000원"
에이치짐 신설동점 1:1 PT 11회 판매합니다!,"450,000원"
삼성 갤럭시 워치 42mm 블랙,"10,000원"
갤럭시 워치 4 44mm 베이지,"10,000원"
가정용 숀리 스텝퍼 운동기구,"60,000원"
나이키 가방 / 더플백,"25,000원"
숀리 엑스바이크 플래티넘 DP-652-G6,"30,000원"
CHRIOLOGY 크리오로지 헬스 웨이트 역도선수용 벨트,"50,000원"
신설동 헬스장 에이치짐 피티양도(11회),"490,000원"
은성 헬스빌 가정용 거꾸리,"20,000원"
캠핑용실리콘매트 한정판헬스포츠블랙+탄색 일반,"27,000원"
판매완료,동묘 스파렉스 헬스장 회원권 판매 (5개월)
동묘 스파렉스 헬스장 회원권 판매 (5개월),"160,000원"
판매완료,숭인동 신설동 헬스 저스트짐 just gym 회원권 양도
숭인동 신설동 헬스 저스트짐 just gym 회원권 양도,"130,000원"
판매완료,신설동. 동묘 헬스장 저스트짐 8개월 회원권 양도
신설동. 동묘 헬스장 저스트짐 8개월 회원권 양도,"250,000원"
헬스장 용 벨트마사지기,"50,000원"
신설동역 제이휘트니스 헬스장 3개월 양도 (양도비 포함 가격),"80,000원"
판매완료,숭인동 헬스장 저스트짐 회원권 7개월분 양도
숭인동 헬스장 저스트짐 회원권 7개월분 양도,"266,000원"
헬스럽 더블락 문틀철봉,"5,000원"
런닝화 아디다스,"35,000원"
끌올 3일 전,20kg 원판 바벨 중량'' 사용감있음
20kg 원판 바벨 중량'' 사용감있음,"20,000원"
7kg 육각 덤벨 한 쌍,"15,000원"
중고 이고진 멀티 홈짐 EX006A 레그프레스,"130,000원"
kp200앰프. 판매합니다,"40,000원"
강쥐 고양이 숨숨집 새제품,"18,000원"
판매완료,백퍼센트짐 혜화점 GDR 골프 회원권 1년2개월 운동복락커포함
백퍼센트짐 혜화점 GDR 골프 회원권 1년2개월 운동복락커포함,"750,000원"
[새상품]남자 신발 스니커즈 265,"10,000원"
스포애니 신설동역점 4개월8일 + 운동복 포함,"100,000원"
(새상품) 카딜로 310D xs,"270,000원"
이고진 실내 미니자전거,"5,000원"
스포애니 신설동역점 이용권(6개월),"110,000원"
나이키 프리 메트콘 5 브라이트 크림슨 260 (DV3949-100) 정품인증 O,"65,000원"
BBEDA 노라인 스마트 마그네틱 줄넘기,"5,000원"
안다르 스포츠 헤어밴드 (런닝),"8,500원"
동대문 샤머니짐 헬스장 양도 (2인),"290,000원"
동대문 샤머니짐 헬스장 양도 2인,"400,000원"
더블와이짐 헬스장 이용권 양도 (양도비 부담 x) ❗️기간 수정,"130,000원"
·,더블와이짐 헬스&PT 신금호점 회원권 (양도비 부담X)
더블와이짐 헬스&PT 신금호점 회원권 (양도비 부담X),"130,000원"
스포짐 신당역점 - 헬스&골프 9개월,"800,000원"
엑사이더 스텝퍼 TS330A 업그레이드 형 / 헬스매트 포함 (장력조절 가능),"68,000원"
헬스포츠 발할 텐트 팔아요!,"1,710,000원"
·,📍헬스트론 침구형 온열 가능 매트 N4000W 판매(구입가 500만원)
📍헬스트론 침구형 온열 가능 매트 N4000W 판매(구입가 500만원),"2,900,000원"
헬스 덤벨 염주 팔찌,"3,000원"
퀸 헬스믹쿡 해독주스 제조기,나눔
·,룰루레몬 원더언더 아시안핏 HR 레깅스 블랙 S / 얼라인 러닝 나이키 알로 요가 조깅 헬스
룰루레몬 원더언더 아시안핏 HR 레깅스 블랙 S / 얼라인 러닝 나이키 알로 요가 조깅 헬스,"50,000원"
신당스포짐 •헬스장/pt/신당/왕십리 수능 끝! 이제는 나를 바꿀 시간 • 방학 때 몸 만들기 프로젝트,나눔
이사도라 헬스 발 지압 운동기,"10,000원"
반팔 티셔츠(요가 운동 헬스),"3,000원"
판매완료,파크짐 헬스장(약수) 회원권 양도 -16개월
파크짐 헬스장(약수) 회원권 양도 -16개월,"270,000원"
블랙터프 헬스 리프팅 벨트,"20,000원"
판매완료,"헬스기구 풀업,덤벨 등 무료나눔합니다."
"헬스기구 풀업,덤벨 등 무료나눔합니다.",나눔
홈짐스미스 랙 헬스장용,"200,000원"
판매완료,약수역 베네짐 헬스장 회원권 양도 / 약 5개월
약수역 베네짐 헬스장 회원권 양도 / 약 5개월,"219,000원"
가정용 철봉 헬스 운동기구,나눔
파크짐 약수점 헬스+GX+락커+운동복 양도(7개월),"150,000원"
"헬스장 운동기구 세트 (파워 랙, 케이블 머신, 벤치 등)","800,000원"
헬스장 파크짐 청구점 3개월 양도합니다.,"100,000원"
동대문 던던 샤머니짐 헬스장 양도합니다,"200,000원"
헬스장 파크짐 청구역점 6개월 양도,"165,000원"
청구역 파크짐 헬스장 양도,"120,000원"
신당동 베네짐 헬스장 양도,"390,000원"
판매완료,스포짐 신당 헬스장 회원권 양도(~26.3.18.) 5개월
스포짐 신당 헬스장 회원권 양도(~26.3.18.) 5개월,"100,000원"
판매완료,엘투휘트니스 왕십리점 헬스장 회원권 양도(약 6개월)
엘투휘트니스 왕십리점 헬스장 회원권 양도(약 6개월),"250,000원"
판매완료,신당역 베네짐 헬스장 양도 피티12회 +회원권3개월반
신당역 베네짐 헬스장 양도 피티12회 +회원권3개월반,"950,000원"
더블와이짐 신금호점 양도❗️양도비 부담 X 날짜 제안,"10,000원"
일립티컬 헬스기구 운동기구,"30,000원"
파크짐청구(헬스),"190,000원"
은성헬스빌 아령거치대,나눔
샤머니짐 헬스장 양도(동역사 1분거리)🏋️‍♀️,"230,000원"
판매완료,"캐비넷(개인사물함)팝니다. 헬스장,스터디,요가학원 이용"
"캐비넷(개인사물함)팝니다. 헬스장,스터디,요가학원 이용","90,000원"
샤머니짐 헬스장 양도,"280,000원"
"큰 짐가방/농구가방/운동가방(헬스,주짓수)",나눔
[헬스장 양도]파크짐 청구점 52일 양도,"60,000원"
헬스장 파크짐 청구점 약 7개월 양도,"200,000원"
헬스 벤치 팝니다,"10,000원"
왕십리 L2휘트니스 헬스장 티켓,"150,000원"
파크짐 청구 헬스장 양도,"315,000원"
판매완료,헬스 회원권 양도
헬스 회원권 양도,"350,000원"
판매완료,금남시장 24시 헬스장 11개월 회원권 양도 fm휘트니스
금남시장 24시 헬스장 11개월 회원권 양도 fm휘트니스,"275,000원"
스피닝 입니다. 실내자전거 헬스 홈트,"20,000원"
베네짐(헬스장) 신당점 7개월 양도,"300,000원"
헬스 운동기구 부착물 세트 저렴하게 팝니다,"10,000원"
