상품명,가격
판매완료,회원권 양도] 스포벡 피트니스 용산점
회원권 양도] 스포벡 피트니스 용산점,"200,000원"
스포짐 용산점 3개월 양도(락커포함),"170,000원"
강릉 라카이샌드파인 리조트 오션더블 숙박 판매 (8/8-8/9),"140,000원"
도서 판매해요,"1,000원"
라온 필라테스 효창점 40회 양도,"450,000원"
엑사이더 런닝 바이크 EB470B,"40,000원"
운동가방 새제품,"5,000원"
라온피트니스필라테스 개인레슨 7회 이용권(양도비포함),"300,000원"
Mka 랫풀다운 그립,"10,000원"
제스파 초음파 스팀 발족욕기,"60,000원"
아디다스 운동가방 미디엄 55cm,"6,000원"
새상품 ) 스마트 체중계,"8,000원"
튜빙밴드 홈트 1회 사용 거의 새것,"9,000원"
나이키 운동화 240,"5,000원"
Xpodium 헬스 운동기구 일괄,1원
신용산역 헬스장/pt 구해요.,"50,000원"
드래곤시티 휘트니스 3장호텔 헬스 수영 골프 사우나~2026.9.30.SDC Fitness Club 1일 이용권,"62,000원"
(새상품) 헬스 팔꿈치보호다,"5,000원"
뉴팜헬스케어 알무민맥스 30포 팝니다 (쇼핑백 o/새제품),"15,000원"
·,원알엠 카모 헬스 백팩
원알엠 카모 헬스 백팩,"48,000원"
제로투히어로 헬스 스트랩+ROGUE 손목보호대,"10,000원"
파워타워 머신 헬스기구,"1,073,000원"
하빈저 헬스 스트랩 핑크색,"13,500원"
멜킨 인클라인 벤치 각도조절 헬스벤치,"30,000원"
헬스포츠 로포텐 슈퍼라이트 2 텐트 + 풋프린트,"1,000,000원"
나이키 메트콘9 오렌지 크로스핏 헬스화 240,"54,000원"
헬스 장갑,"5,000원"
판매완료,스포애니 헬스 회원권 양도
스포애니 헬스 회원권 양도,"130,000원"
헬스장/체육관 운동기구 일괄 판매,1원
헬스장 홈짐 고무 바닥 매트,나눔
발레오 남성헬스장갑 새제품,나눔
은성 헬스빌 좌식 사이클 SP-8900S,"30,000원"
판매완료,오늘만 나눔 푸쉬업바 푸샵바 근육 운동 헬스 스포츠
오늘만 나눔 푸쉬업바 푸샵바 근육 운동 헬스 스포츠,나눔
판매완료,워너블짐 헬스 회원권 양도
워너블짐 헬스 회원권 양도,"60,000원"
은성 헬스빌 거꾸리,나눔
신용산역 근처위치 센트럴짐 이용권 헬스장 운동 양도,"250,000원"
헬스장 가방 새상품,"3,000원"
(판매) 용산 모어피클 헬스장 센트럴파크 1개월권 판매,"40,000원"
판매완료,서울역 엘리트핏 헬스 회원권 2개월(~11/17) 양도
서울역 엘리트핏 헬스 회원권 2개월(~11/17) 양도,"70,000원"
헬스콘 혈압계,"18,000원"
워너블짐 헬스장 이용권 2개월 양도,"100,000원"
[ 용산 삼각지 ] 워너블짐 헬스 양도,"130,000원"
판매완료,[급처] 위너블짐 용산점 헬스장 회원권 양도(운동복대여 포함)
[급처] 위너블짐 용산점 헬스장 회원권 양도(운동복대여 포함),1원
"숙대, 용산 sky gym 헬스 100일 양도","200,000원"
숙대입구 스카이짐 헬스 이용권 양도 ~7월까지,"270,000원"
판매완료,실내자전거 은성헬스빌 원바이크 접이식 좌식싸이클
실내자전거 은성헬스빌 원바이크 접이식 좌식싸이클,"200,000원"
판매완료,워너블짐 헬스장 회원권 (~24.09.02)
워너블짐 헬스장 회원권 (~24.09.02),1원
룰루레몬 헬스 웨이트 운동 장갑 XS/S 사이즈,"15,000원"
헬스장비 베르사그립 클래식 s,"35,000원"
용산 센트럴짐 헬스 이용권 (3개월),"300,000원"
신용산역 용산역 모어피클 헬스 이용권 양도 (~8/20),"70,000원"
은성 헬스빌 스트레칭 운동기구(거꾸리),"41,000원"
아디다스 헬스 장갑 여성용 M 사이즈,"10,000원"
판매완료,워너블짐 골프 및 헬스 회원권 양도(골프락커 포함)
워너블짐 골프 및 헬스 회원권 양도(골프락커 포함),"600,000원"
숀리 엑스바이크 플래티넘 실내 자전거 유산소 운동 기구 가정용 하체 접이식 사이클 헬스,"72,000원"
판매완료,원알엠 헬스가방 판매합니다!
원알엠 헬스가방 판매합니다!,"70,000원"
헬스 스트랩 쉴드 제품,"5,900원"
나이키 헬스 장갑 여성용 L 사이즈,1원
도미오스 헬스 자전거 C3.0,"50,000원"
아이큐에어 헬스프로 250 / IQAir HealthPro 250 NE 공기청정기,"60,000원"
헬스플라자 패럴렛바 푸쉬업바 블랙,"20,000원"
헬스포츠 바랑에르돔 8-10 A급 그라운드시트 포함,"1,000,000원"
나이키 여성 헬스 운동용장갑 M사이즈,"15,000원"
판매완료,원알엠 헬스 가방
원알엠 헬스 가방,"3,000원"
헬스포츠 텐트 타프 비트호른 트랙 435x290 카키 타프 팝니다,"130,000원"
하빈져 헬스벨트 여성용 xs,"10,000원"
"제로투히어로 프로 그립 헬스 리프팅 스트랩 손목보호대, XS","20,000원"
강남메리어트 휘트니스 2장( 어브덕션abduction 잇슴)Marquis Fitness Club,"65,000원"
바디프랜드 파라오S 안마의자 브라운,"1,000,000원"
앳플리 T9 스마트 체중계,"12,000원"
나이키 여성 프리메트콘 블랙 240,"120,000원"
멜킨 포스 치닝디핑 블랙 턱걸이 기구,나눔
아스브라운 크로스핏 운동화 판매합니다,"10,000원"
아디다스 검정 운동화250,"21,000원"
Tunturi 헬스 자전거,"50,000원"
코리아나호텔 헬스장 양도 10개월,"430,000원"
블랙몬스터 T자 헬스 스트랩 손목 보호대,"6,900원"
BODY X 인클라인 헬스 벤치,나눔
이촌 헬스장 스포하이 마지막 가격,"380,000원"
선버드 SB880 헬스 장갑 M 새상품,나눔
스포하이(이촌점) 헬스장 이용권,"124,000원"
은성헬스빌 V501 실내 자전거/ 좌식,"100,000원"
한번도 사용안한 헬스용 가방,"3,000원"
스포하이 이촌점 GX + 헬스 패키지 이용권 (양도비포함),"590,000원"
판매완료,"피트니스 더 원 (헬스 + 골프, 에어로빅, GX, 택 1)"
"피트니스 더 원 (헬스 + 골프, 에어로빅, GX, 택 1)","650,000원"
더웨이트컴퍼니 더플백 헬스가방 판매합니다,"10,000원"
철봉턱걸이헬스기구,"30,000원"
헬스 스트랩 - 제로 투 히어로 프로 그립 M,"13,500원"
헬스럽 덤벨 20kg - 무게조절가능,"12,000원"
핑크 레깅스 M 요가 헬스 (미착용 새상품),"3,000원"
스포하이 이촌 PT 9회,"500,000원"
스케쳐스 운동복,"5,000원"
멜킨 스피드 매치 센서,"5,000원"
슈페리어 트윈룸 숙박권 (10/18-10/19),"270,000원"
판매완료,이촌스포하이 회원권 양도합니다 (잔여일수: 290)
이촌스포하이 회원권 양도합니다 (잔여일수: 290),"400,000원"
가온사이클,"180,000원"
판매완료,스포하이 회원권 양도(가격 인하)
스포하이 회원권 양도(가격 인하),"298,000원"
아이러너(irunner) X7,"200,000원"
"파슬리, 에어리즘 브라탑 새거 일괄 (S)","10,000원"
판매완료,이촌 스포하이 회원권 양도 (199일)
이촌 스포하이 회원권 양도 (199일),"250,000원"
판매완료,스텝퍼 1만원 판매해요
스텝퍼 1만원 판매해요,"10,000원"
판매완료,스포하이(구 스포짐) 이촌점 회원권
스포하이(구 스포짐) 이촌점 회원권,"500,000원"
나이키조던정품,"30,000원"
갤럭시 워치7 울트라 47mm 판매..,"520,000원"
드래곤시티 노보텔 7월20일~21일 1박,"220,000원"
나이키 에픽 리액트 플라이니트 250 러닝화,"30,000원"
이고진 스핀바이크 사이클 실내자전거 901S,"130,000원"
판매완료,더블에어짐 회원권 양도
더블에어짐 회원권 양도,"100,000원"
Knoll RPM 공부용 의자 블랙 서재용 사무용 의자,"90,000원"
Diamir 스포츠 브라 블랙,"3,000원"
나이키에어.스텔라메커트니 운동화,"43,000원"
"안다르 레깅스, 상의, 커버업 등 S사이즈 일괄","7,000원"
삼성 갤럭시 워치8 40mm 미개봉,"290,000원"
TOESOX 양말 새제품,"10,000원"
매버릭스 무릎보호대,"5,000원"
만도 최고급 실내좌식자전거 RB422,"7,777원"
나이키 리액트X 인피니티 런 4 울프 그레이 블랙,"70,000원"
"어깨등마사지기, 허리마사지기 판매 (최종금액)","5,000원"
런블랙 스포츠 더플백 라벤더,"6,000원"
이고진 x3 런닝머신 SH-T5100 층간소음 NO,"370,000원"
드래곤시티 그랜드머큐어호텔 휘트니스 1일이용권 판매,"45,000원"
책일괄 판매합니다,"3,000원"
나이키운동화추가할인합니다250,"21,000원"
스케쳐스 울트라 플렉스 250,"21,000원"
아디다스 폼롤러 (길이 90 × 폭10cm),"8,000원"
NFL 미식축구 슈퍼볼 한정판 오델 배컴주니어 나이키 유니폼 져지,"68,000원"
나이키 덩크 로우 레트로 270 퍼플,"35,000원"
Rookie 지식책 리더스 59권 잠수네 인기 영어책,"100,000원"
(새상품) 라이언 의사 피규어,"5,000원"
헬스장 골프장 외 자판기설치,"1,500,000원"
[국내유일]타이탄테크 커스텀 스테인레스 구름사다리 파워랙 어테치먼트 헬스장인테리어 헬스 크로스핏 파워리프팅,"1,200,000원"
·,[신품급]Rogue Deep Dish Plate 로그주물원판 로그피트니스 홈짐원판 크로스핏 헬스
[신품급]Rogue Deep Dish Plate 로그주물원판 로그피트니스 홈짐원판 크로스핏 헬스,"480,000원"
이고진 접이식 헬스 벤치,나눔
오쿠 OC-7700R 헬스쿠커 중탕기,"30,000원"
리복 운동화 헬스 런닝화 웨이트 신발 245,나눔
헬스기구,"20,000원"
판매완료,1gym 원짐 7개월 남은 헬스장 회원권 양도
1gym 원짐 7개월 남은 헬스장 회원권 양도,"350,000원"
스포애니 헬스장 양도,"50,000원"
헬스 운동기구 풀세트,"1,000,000원"
판매완료,원효로 원짐 헬스3개월 양도합니다.
원효로 원짐 헬스3개월 양도합니다.,"200,000원"
판매완료,원짐 헬스 개인락커 운동복 약6개월 양도(195일 남음)
원짐 헬스 개인락커 운동복 약6개월 양도(195일 남음),"370,000원"
나이키 반바지 헬스 웨이트 운동 수영복,"20,000원"
판매완료,"1gym/원짐 골프,헬스권 양도합니다"
"1gym/원짐 골프,헬스권 양도합니다","1,000,000원"
나이키 신발 운동화 헬스 런닝화 웨이트,"24,000원"
판매완료,원효로 원짐 이용권 (골프+헬스+일반락카) 1ㅇㄴ 양도_마지막가격
원효로 원짐 이용권 (골프+헬스+일반락카) 1ㅇㄴ 양도_마지막가격,"600,000원"
운동화 헬스 런닝화 웨이트 신발 270,"20,000원"
(헬스템) 가정용 스테퍼/스텝퍼/스탭퍼,"18,000원"
운동화 런닝화 헬스 나이키 웨이트 신발,"17,000원"
아디다스 신발 운동화 헬스 웨이트 런닝화,"17,000원"
아디다스 운동화 헬스 런닝화 웨이트 신발 265,"17,000원"
[A급]랩피트니스 육각덤벨 5~60파운드 rep fitness hexdumbbell 홈짐덤벨 크로스핏 헬스 육각아령,"450,000원"
리복 운동화 런닝화 헬스 웨이트 265,"15,000원"
운동화 헬스 런닝화 웨이트 신발 235,"15,000원"
뉴발란스 운동화 헬스 런닝화 웨이트 신발 260,"18,000원"
나이키 운동화 헬스 런닝화 230,"15,000원"
나이키 런닝화 운동화 헬스 270,"11,000원"
운동화 헬스 런닝화 웨이트 신발 265mm,"15,000원"
나이키 운동화 헬스 런닝화 240 여성,"19,000원"
운동화 헬스 런닝화 웨이트 신발 250,"15,000원"
반스 운동화 헬스 런닝화 웨이트 신발 235,"17,000원"
나이키 운동화 헬스 런닝화 250,"12,000원"
운동화 헬스 런닝화 웨이트 신발 240,"8,000원"
러닝양말 헬스용 양말 축구양말 스포츠용 양말,"2,000원"
더블트리바이힐튼 판교 호텔 2인권,"350,000원"
갤럭시 워치4 클래식 46mm 실버,"45,000원"
렉스파 스쿼트 머신,나눔
나인트리 프리미어 로카우스 호텔 서울 용산 숙박 양도합니다,"150,000원"
삼성 갤럭시 워치7 40mm 크림 (블루투스),"155,000원"
사이먼스핀바이크 스피닝바이크 SB1,"90,000원"
나이키 프리메트콘3 240,"37,000원"
본투윈 B2 가방 팝니다,"70,000원"
판매완료,한남동 웰페리온 회원권 양도 합니다.
한남동 웰페리온 회원권 양도 합니다.,"2,600,000원"
나이키 운동화 런닝화 265,"25,000원"
이고진 6kg 덤벨2개,"8,000원"
나이키 페가수스39 270 블랙,"21,000원"
반스 운동화 팝니다,"10,000원"
나이키 메트콘8 270mm 새상품,"85,000원"
나이키 운동화 런닝화 265,"10,000원"
런닝 운동화 휠라 런닝화 240,"13,500원"
YUNMAI X mini2 스마트 인바디 체중계 충전형 M1825,"10,000원"
판매완료,엑스바이크 접이식 실내 자전거 조건부나눔
엑스바이크 접이식 실내 자전거 조건부나눔,"10,000원"
박서준 나이키 조던 민소매 xxl,"35,000원"
본문 바로가기,이태원제1동
중고거래,"서울특별시 용산구 이태원제1동 ""헬스"" 검색 결과"
아디다스 복싱화 검정색(헬스 신발) 260,"30,000원"
"30,000원",이태원제1동
제로투히어로 헬스 스트랩 새상품,"15,000원"
"15,000원",이태원제1동
헬스자전거,나눔
나눔,이태원제1동
판매완료,헬스 원판 & 덤벨 세트
헬스 원판 & 덤벨 세트,나눔
키텍 입식 헬스 자전거,나눔
헬스장 매트,"5,000원"
"5,000원",이태원제1동
판매완료,이태원짐 헬스장 pt10회 양도합니다
이태원짐 헬스장 pt10회 양도합니다,"400,000원"
"400,000원",이태원제1동
인클라인 벤치 헬스 휘트니스,나눔
퀄팩 스트레치 트래블백 여행가방 확장백 헬스가방 아이보리/아이보리,"15,000원"
베르사그립 프로 s,"50,000원"
"50,000원",이태원제1동
블롬비스타 숙박권,"130,000원"
"130,000원",이태원제1동
판매완료,이태원짐 PT권 양도
이태원짐 PT권 양도,"225,000원"
"225,000원",이태원제1동
초대형 이동식 전신거울,"130,000원"
판매완료,몬드리안호텔 휘트니스 회원권 4개월 양도
몬드리안호텔 휘트니스 회원권 4개월 양도,"1,800,000원"
"1,800,000원",이태원제1동
주변 지역,이태원제1동
본문 바로가기,이태원제2동
중고거래,"서울특별시 용산구 이태원제2동 ""헬스"" 검색 결과"
카딜로 310DL 헬스 벨트 블랙 XS,"200,000원"
"200,000원",이태원제2동
판매완료,이태원짐 헬스 양도
이태원짐 헬스 양도,"250,000원"
"250,000원",이태원제2동
판매완료,이태원 짐 핼스 이용관
이태원 짐 핼스 이용관,"275,000원"
"275,000원",이태원제2동
판매완료,경리단 헬스회원권 10개월 30만원에 팝니다.
경리단 헬스회원권 10개월 30만원에 팝니다.,"300,000원"
"300,000원",이태원제2동
판매완료,이태원짐 헬스장 회원권 양도+신발락커
이태원짐 헬스장 회원권 양도+신발락커,"400,000원"
"400,000원",이태원제2동
토니웩 카프 레더 자켓 XL,"370,000원"
"370,000원",이태원제2동
아디다스 삼바 로즈 245,"30,000원"
"30,000원",이태원제2동
나이키 에어 줌 슈퍼랩 3 블랙 275mm,"35,000원"
"35,000원",이태원제2동
판매완료,"숙대입구 스카이짐 회원권 양도(7월 5일까지, 양도비 포함)"
"숙대입구 스카이짐 회원권 양도(7월 5일까지, 양도비 포함)","140,000원"
"140,000원",이태원제2동
판매완료,이태원짐 이용권 양도
이태원짐 이용권 양도,"300,000원"
엑사이더 가정용 스텝퍼 운동기구,"40,000원"
"40,000원",이태원제2동
아디제로 보스턴12 275 남자 런닝화,"80,000원"
"80,000원",이태원제2동
아이러너 스마트 런닝머신 가정용,"120,000원"
"120,000원",이태원제2동
갤럭시 워치8 40mm 개봉 새상품,"230,000원"
"230,000원",이태원제2동
이고진(Egojin) 실내자전거,"50,000원"
"50,000원",이태원제2동
주변 지역,이태원제2동
제임스짐 요가/운동복/헬스 9개월,"900,000원"
벤치프레스 무게 잘 안느는분? 구노 풀핑거 헬스 장갑 (거의새거),"14,000원"
숀리 엑스바이크 헬스 자전거,"50,000원"
배럴 여성 핼스복 (55),"11,000원"
스포하이 피트니스 이촌점 헬스 양도,"228,000원"
몬드리안 호텔 이용권( 헬스.수영.사우나),"30,000원"
은성 Speedy Z9 헬스 자전거,"30,000원"
